timestamp(ms),RawGyA,SmRrCA,CrntGyASlow,SmGyA,FlGyA,StprPos,mGyA,RawGA,RwGyA,SmRCA,SmyA,awGyA,SmRrC,
"1666701850,091","1,74",,,,,,,,,,,,,
"1666701850,101","1,74",,,,,,,,,,,,,
"1666701850,11","1,74","6,24",,,,,,,,,,,,
"1666701850,113",,,"1,74","1,74",,,,,,,,,,
"1666701850,116",,,,,"1,69",,,,,,,,,
"1666701850,121","1,74",,,,,,,,,,,,,
"1666701850,131","1,74",,,,,,,,,,,,,
"1666701850,141","1,74",,,,,,,,,,,,,
"1666701850,151","1,74",,,,,,,,,,,,,
"1666701850,161","1,7",,,,,,,,,,,,,
"1666701850,17","1,74","6,24",,,,,,,,,,,,
"1666701850,173",,,"1,74","1,74",,,,,,,,,,
"1666701850,176",,,,,"1,69",,,,,,,,,
"1666701850,181","1,74",,,,,,,,,,,,,
"1666701850,191","1,74",,,,,,,,,,,,,
"1666701850,201","1,74",,,,,,,,,,,,,
"1666701850,211","1,74",,,,,,,,,,,,,
"1666701850,221","1,74",,,,,,,,,,,,,
"1666701850,23","1,74","6,24",,,,,,,,,,,,
"1666701850,232",,,"1,74",,,,,,,,,,,
"1666701850,233",,,,"1,74",,,,,,,,,,
"1666701850,236",,,,,"1,7",,,,,,,,,
"1666701850,241","1,74",,,,,,,,,,,,,
"1666701850,251","1,74",,,,,,,,,,,,,
"1666701850,261","1,4",,,,,,,,,,,,,
"1666701850,271","1,74",,,,,,,,,,,,,
"1666701850,281","1,74",,,,,,,,,,,,,
"1666701850,29","1,74","6,24",,,,,,,,,,,,
"1666701850,293",,,"1,74","1,74",,,,,,,,,,
"1666701850,296",,,,,"1,7",,,,,,,,,
"1666701850,301","1,74",,,,,,,,,,,,,
"1666701850,311","1,74",,,,,,,,,,,,,
"1666701850,321","1,74",,,,,,,,,,,,,
"1666701850,331","1,74",,,,,,,,,,,,,
"1666701850,341","1,74",,,,,,,,,,,,,
"1666701850,35","1,74","6,24",,,,,,,,,,,,
"1666701850,353",,,"1,74","1,74",,,,,,,,,,
"1666701850,356",,,,,"1,7",,,,,,,,,
"1666701850,361","1,74",,,,,,,,,,,,,
"1666701850,371","1,74",,,,,,,,,,,,,
"1666701850,381","1,74",,,,,,,,,,,,,
"1666701850,391","1,74",,,,,,,,,,,,,
"1666701850,401","1,74",,,,,,,,,,,,,
"1666701850,41","1,74","6,25",,,,,,,,,,,,
"1666701850,412",,,"1,74","1,74",,,,,,,,,,
"1666701850,416",,,,,"1,7",,,,,,,,,
"1666701850,421","1,74",,,,,,,,,,,,,
"1666701850,431","1,73",,,,,,,,,,,,,
"1666701850,441","1,73",,,,,,,,,,,,,
"1666701850,451","1,74",,,,,,,,,,,,,
"1666701850,461","1,74",,,,,,,,,,,,,
"1666701850,47","1,74","6,25",,,,,,,,,,,,
"1666701850,472",,,"1,74","1,74",,,,,,,,,,
"1666701850,476",,,,,"1,7",,,,,,,,,
"1666701850,481","1,74",,,,,,,,,,,,,
"1666701850,491","1,74",,,,,,,,,,,,,
"1666701850,501","1,74",,,,,,,,,,,,,
"1666701850,511","1,74",,,,,,,,,,,,,
"1666701850,521","1,74",,,,,,,,,,,,,
"1666701850,53","1,74","6,25",,,,,,,,,,,,
"1666701850,533",,,"1,74","1,74",,,,,,,,,,
"1666701850,536",,,,,"1,7",,,,,,,,,
"1666701850,541","1,74",,,,,,,,,,,,,
"1666701850,551","1,74",,,,,,,,,,,,,
"1666701850,561","1,74",,,,,,,,,,,,,
"1666701850,571","1,74",,,,,,,,,,,,,
"1666701850,581","1,74",,,,,,,,,,,,,
"1666701850,59","1,74","6,25",,,,,,,,,,,,
"1666701850,592",,,"1,74","1,74",,,,,,,,,,
"1666701850,596",,,,,"1,7",,,,,,,,,
"1666701850,601","1,74",,,,,,,,,,,,,
"1666701850,611","1,74",,,,,,,,,,,,,
"1666701850,621","1,74",,,,,,,,,,,,,
"1666701850,631","1,74",,,,,,,,,,,,,
"1666701850,641","1,74",,,,,,,,,,,,,
"1666701850,65","1,74","6,25",,,,,,,,,,,,
"1666701850,652",,,"1,74","1,74",,,,,,,,,,
"1666701850,656",,,,,"1,7",,,,,,,,,
"1666701850,661","1,74",,,,,,,,,,,,,
"1666701850,671","1,74",,,,,,,,,,,,,
"1666701850,681","1,74",,,,,,,,,,,,,
"1666701850,691","1,74",,,,,,,,,,,,,
"1666701850,701","1,74",,,,,,,,,,,,,
"1666701850,71","1,74",,,,,,,,,"6,25",,,,
"1666701850,713",,,"1,74","1,74",,,,,,,,,,
"1666701850,716",,,,,"1,71",,,,,,,,,
"1666701850,721","1,74",,,,,,,,,,,,,
"1666701850,731","1,74",,,,,,,,,,,,,
"1666701850,741","1,74",,,,,,,,,,,,,
"1666701850,751","1,74",,,,,,,,,,,,,
"1666701850,761","1,74",,,,,,,,,,,,,
"1666701850,77","1,74","6,25",,,,,,,,,,,,
"1666701850,772",,,"1,74","1,74",,,,,,,,,,
"1666701850,776",,,,,"1,71",,,,,,,,,
"1666701850,781","1,74",,,,,,,,,,,,,
"1666701850,791","1,74",,,,,,,,,,,,,
"1666701850,801","1,74",,,,,,,,,,,,,
"1666701850,811","1,74",,,,,,,,,,,,,
"1666701850,821","1,74",,,,,,,,,,,,,
"1666701850,829","1,74","6,25",,,,,,,,,,,,
"1666701850,832",,,"1,74","1,74",,,,,,,,,,
"1666701850,836",,,,,"1,71",,,,,,,,,
"1666701850,841","1,74",,,,,,,,,,,,,
"1666701850,851","1,73",,,,,,,,,,,,,
"1666701850,861","1,73",,,,,,,,,,,,,
"1666701850,87","1,73",,,,,,,,,,,,,
"1666701850,881","1,73",,,,,,,,,,,,,
"1666701850,89","1,73","6,25",,,,,,,,,,,,
"1666701850,892",,,"1,73","1,74",,,,,,,,,,
"1666701850,896",,,,,"1,71",,,,,,,,,
"1666701850,901","1,73",,,,,,,,,,,,,
"1666701850,911","1,73",,,,,,,,,,,,,
"1666701850,921","1,73",,,,,,,,,,,,,
"1666701850,931","1,73",,,,,,,,,,,,,
"1666701850,941","1,73",,,,,,,,,,,,,
"1666701850,95","1,73","6,25",,,,,,,,,,,,
"1666701850,952",,,"1,73","1,74",,,,,,,,,,
"1666701850,956",,,,,"1,71",,,,,,,,,
"1666701850,961","1,73",,,,,,,,,,,,,
"1666701850,971","1,73",,,,,,,,,,,,,
"1666701850,981","1,73",,,,,,,,,,,,,
"1666701850,991","1,73",,,,,,,,,,,,,
"1666701851,001","1,73",,,,,,,,,,,,,
"1666701851,009","1,73","6,25",,,,,,,,,,,,
"1666701851,012",,,"1,73","1,73",,,,,,,,,,
"1666701851,016",,,,,"1,71",,,,,,,,,
"1666701851,021","1,73",,,,,,,,,,,,,
"1666701851,031","1,73",,,,,,,,,,,,,
"1666701851,041","1,73",,,,,,,,,,,,,
"1666701851,051","1,73",,,,,,,,,,,,,
"1666701851,06","1,73",,,,,,,,,,,,,
"1666701851,07","1,73","6,24",,,,,,,,,,,,
"1666701851,072",,,"1,73","1,73",,,,,,,,,,
"1666701851,076",,,,,"1,71",,,,,,,,,
"1666701851,081","1,73",,,,,,,,,,,,,
"1666701851,091","1,73",,,,,,,,,,,,,
"1666701851,101","1,73",,,,,,,,,,,,,
"1666701851,11","1,73",,,,,,,,,,,,,
"1666701851,12","1,73",,,,,,,,,,,,,
"1666701851,129","1,73","6,24",,,,,,,,,,,,
"1666701851,132",,,"1,73","1,73",,,,,,,,,,
"1666701851,136",,,,,"1,71",,,,,,,,,
"1666701851,144",,,,,,"4,34",,,,,,,,
"1666701851,151","1,73",,,,,,,,,,,,,
"1666701851,16","1,73",,,,,,,,,,,,,
"1666701851,171","1,73",,,,,,,,,,,,,
"1666701851,181","1,73",,,,,,,,,,,,,
"1666701851,19","1,73",,,,,,,,,,,,,
"1666701851,2","1,73","6,23",,,,,,,,,,,,
"1666701851,202",,,"1,73","1,73",,,,,,,,,,
"1666701851,206",,,,,"1,71",,,,,,,,,
"1666701851,21","1,73",,,,,,,,,,,,,
"1666701851,22","1,73",,,,,,,,,,,,,
"1666701851,231","1,73",,,,,,,,,,,,,
"1666701851,24","1,73",,,,,,,,,,,,,
"1666701851,251","1,73",,,,,,,,,,,,,
"1666701851,26","1,73","6,22",,,,,,,,,,,,
"1666701851,262",,,"1,73","1,73",,,,,,,,,,
"1666701851,265",,,,,"1,71",,,,,,,,,
"1666701851,27","1,73",,,,,,,,,,,,,
"1666701851,281","1,73",,,,,,,,,,,,,
"1666701851,291","1,73",,,,,,,,,,,,,
"1666701851,301","1,73",,,,,,,,,,,,,
"1666701851,311","1,73",,,,,,,,,,,,,
"1666701851,319","1,73","6,21",,,,,,,,,,,,
"1666701851,322",,,"1,73","1,73",,,,,,,,,,
"1666701851,325",,,,,"1,71",,,,,,,,,
"1666701851,334",,,,,,"4,29",,,,,,,,
"1666701851,341","1,73",,,,,,,,,,,,,
"1666701851,35","1,73",,,,,,,,,,,,,
"1666701851,361","1,73",,,,,,,,,,,,,
"1666701851,37","1,73",,,,,,,,,,,,,
