timestamp(ms),StprPos,RawGyA,SmRrCA,CrntGyASlow,SmGyA,FlGyA,CrntGyASlw,RawyA,CrnGyASlow,RwGyA,awGyA,RaGyA,mGyA,RawGA,RawGy,CrntyASlow,CrntGyASlo,mRrCA,FGyA,CrntGyAlow,SmRrA,SmRCA,StprPo,CrtGyASlow,CntGyASlow,Stpros,FlGA,SRrCA,rntGyASlow,SmrCA,CrntGASlow,SmyA,FlyA,CrntGySlow,SmRrC,SGyA,CrntGyASow,SmGA,SmGy,FlGy,
"1666958157,938",,"1,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,948",,"1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,958",,"1,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,967",,"1,41","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,969",,,,"1,41","1,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,973",,,,,,"2,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,978",,"1,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,988",,"1,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958157,997",,"1,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,007",,"1,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,018",,"1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,026",,"1,32","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,029",,,,"1,32","1,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,033",,,,,,"2,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,038",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,048",,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,058",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,068",,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,078",,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,087",,"1,26","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,089",,,,"1,26","1,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,093",,,,,,"2,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,098",,"1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,108",,"1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,118",,"1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,128",,"1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,138",,"1,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,147",,"1,25","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,15",,,,"1,25","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,153",,,,,,"2,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,163","6,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,178",,"1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,188",,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,198",,"1,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,208",,"1,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,217",,"1,3","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,219",,,,"1,3","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,223",,,,,,"2,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,228",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,238",,"1,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,248",,"1,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,258",,"1,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,268",,"1,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,277",,"1,4","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,279",,,,"1,4","1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,283",,,,,,"2,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,301","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,308",,"1,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,318",,"1,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,328",,"1,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,338",,"1,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958158,348",,"1,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
